Date,Artist,Title,Playlist,Position,Followers,Image_URL,Cover_Artist
2024-03-01,"Confidence Man, DJ BORING",Forever 2 (Crush Mix),New Dance Beats,8,139750,https://i.scdn.co/image/ab67706f0000000350a673c01e9f44c9896a3ed3,"Flight Facilities, Owl Eyes"
2024-03-01,Donny Benét,So Long,New Music Friday AU & NZ,59,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Donny Benét,So Long,Indie Arrivals,8,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,Donny Benét,So Long,Alt Here,32,47872,https://i.scdn.co/image/ab67706f000000033b0354686e7b8ccff95a6fdf,St. Vincent
2024-03-01,Obscura Hail,Paper Rock,New Music Friday AU & NZ,60,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Obscura Hail,Paper Rock,Indie Arrivals,30,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,Obscura Hail,Paper Rock,Alt Here,10,47872,https://i.scdn.co/image/ab67706f000000033b0354686e7b8ccff95a6fdf,St. Vincent
2024-03-01,Lontalius,dontwanna (lifetime),New Music Friday AU & NZ,61,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Lontalius,dontwanna (lifetime),R&B Connect,16,198449,https://i.scdn.co/image/ab67706f000000031873c18d49f70ac328def316,A.GIRL
2024-03-01,Cool Sounds,Bug Life,New Music Friday AU & NZ,62,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Cool Sounds,Bug Life,Indie Arrivals,18,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,"Arman Cekin, Faydee, Okiemute",Special,New Music Friday AU & NZ,63,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Petit Biscuit,Bad Episode,New Music Friday AU & NZ,64,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"Joe Goddard, Fiorious",New World (Flow),New Music Friday AU & NZ,65,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Liam Payne,Teardrops,New Music Friday AU & NZ,66,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Liam Payne,Teardrops,Pop n' Fresh,33,120680,https://i.scdn.co/image/ab67706f00000003419043fbde52eba2ab2d483f,Sycco
2024-03-01,Liam Payne,Teardrops,Chilled Hits,23,528048,,
2024-03-01,"808Riot, VCNT, BIGBABYGUCCI",CARELESS,New Music Friday AU & NZ,67,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"808Riot, VCNT, BIGBABYGUCCI",CARELESS,The Drip,33,89276,https://i.scdn.co/image/ab67706f00000003475e7a5a312ca6b38d04ae35,Meek Mill
